device_id,DeviceType,DeviceInfo,os,browser
5025g,mobile,5025G Build/LMY47I,,chrome 62.0 for android
lg-h918,mobile,LG-H918 Build/NRD90M,Android 7.0,chrome 62.0 for android
sm-g900w8,mobile,SM-G900W8,,chrome 62.0 for android
sm-j320v,mobile,SM-J320V Build/NMF26X,Android 7.1.1,chrome 62.0 for android
sm-j105b,mobile,SM-J105B Build/LMY47V,,chrome 62.0 for android
samsung_sm-g550t1,mobile,SAMSUNG SM-G550T1 Build/MMB29K,Android 6.0.1,other
5010s,mobile,5010S Build/MRA58K,,chrome 62.0 for android
lg-h910,mobile,LG-H910 Build/NRD90M,Android 7.0,chrome 62.0 for android
motoe2,mobile,MotoE2 Build/LPCS23.13-56-5,,chrome 61.0 for android
lgms210,mobile,LGMS210 Build/NRD90U,Android 7.0,chrome 62.0 for android
lg-m700,mobile,LG-M700 Build/NMF26X,,chrome 58.0 for android
5054n,mobile,5054N,,chrome 61.0 for android
samsung_sm-g900a,mobile,SAMSUNG SM-G900A Build/MMB29M,Android 6.0.1,samsung browser 6.2
samsung-sm-t677a,mobile,SAMSUNG-SM-T677A,Android 5.1.1,chrome generic
sm-j500fn,mobile,SM-J500FN,,chrome 62.0 for android
lgmp450,mobile,LGMP450 Build/NRD90U,Android 7.0,chrome 62.0 for android
pixel_2,mobile,Pixel 2 Build/OPM1.171019.011,Android 8.1.0,chrome 63.0 for android
sm-j701m,mobile,SM-J701M Build/NRD90M,,chrome 62.0 for android
z798bl,mobile,Z798BL Build/MMB29M,Android 6.0.1,chrome 53.0 for android
huawei_cun-l03,mobile,HUAWEI CUN-L03 Build/HUAWEICUN-L03,,chrome 50.0 for android
lenovo-a6020l36,mobile,Lenovo-A6020l36 Build/LMY47V,,other
vs820,mobile,VS820,Android 5.1.1,chrome 61.0 for android
kfthwi,mobile,KFTHWI Build/KTU84M,Android,chrome generic
sm-t827v,mobile,SM-T827V Build/NRD90M,Android 7.0,chrome 63.0 for android
lg-h650,mobile,LG-H650 Build/MRA58K,,chrome 62.0 for android
samsung-sgh-i337,mobile,SAMSUNG-SGH-I337 Build/KOT49H,,chrome 62.0 for android
lg-k220,mobile,LG-K220 Build/MXB48T,,chrome 62.0 for android
lg-h810h81021z,mobile,LG-H810/H81021z,Android 6.0,android webview 4.0
ale-l21,mobile,ALE-L21 Build/HuaweiALE-L21,,chrome 62.0 for android
redmi_4x,mobile,Redmi 4X Build/N2G47H,,chrome 62.0 for android
samsung_sm-g935a,mobile,SAMSUNG SM-G935A Build/NRD90M,Android 7.0,samsung browser 6.2
sm-t713,mobile,SM-T713 Build/NRD90M,,chrome 63.0 for android
5051a,mobile,5051A Build/MMB29M,,chrome 50.0 for android
lg-p714,mobile,LG-P714,,chrome 61.0 for android
samsung_sm-g531h,mobile,SAMSUNG SM-G531H Build/LMY48B,,Samsung/SM-G531H
sm-g928g,mobile,SM-G928G Build/NRD90M,,chrome 63.0 for android
x10,mobile,X10,Android 5.1.1,chrome 43.0 for android
gt-i9500,mobile,GT-I9500,,chrome 62.0 for android
huawei_y625-u13,mobile,HUAWEI Y625-U13 Build/HUAWEIY625-U13,,chrome 62.0 for android
hisense_l675,mobile,Hisense L675 Build/MRA58K,,chrome 60.0 for android
p5526a,mobile,P5526A Build/NRD90M,,chrome 62.0 for android
sm-t818v,mobile,SM-T818V,Android 7.0,chrome 62.0 for android
es-mx,mobile,es-mx,,chrome generic
lg-d851,mobile,LG-D851,Android 6.0,android webview 4.0
lg-h990,mobile,LG-H990 Build/NRD90M,Android 7.0,chrome 62.0 for android
lg-v495v49520l,mobile,LG-V495/V49520l,Android 6.0,android webview 4.0
pra-lx3,mobile,PRA-LX3 Build/HUAWEIPRA-LX3,,chrome 62.0 for android
xt1080,mobile,XT1080 Build/SU6-7.7,Android,chrome generic
huawei_y520-u03,mobile,HUAWEI Y520-U03 Build/HUAWEIY520-U03,,chrome 60.0 for android
lenovo_a2016b30,mobile,Lenovo A2016b30 Build/MRA58K,,chrome 61.0 for android
mya-l23,mobile,MYA-L23,,chrome 62.0 for android
k88,mobile,K88 Build/MMB29M,Android 6.0.1,chrome 60.0 for android
lgls770,mobile,LGLS770,Android 6.0,android webview 4.0
lg-m153,mobile,LG-M153 Build/MXB48T,,chrome 53.0 for android
qtair7,mobile,QTAIR7 Build/LMY47D,Android,chrome 62.0 for android
2pq93,mobile,2PQ93,Android 7.0,chrome 59.0 for android
sm-j111m,mobile,SM-J111M Build/LMY47V,,chrome 62.0 for android
sm-s320vl,mobile,SM-S320VL,,chrome 62.0 for android
lg-h901,mobile,LG-H901,Android 6.0,chrome 62.0 for android
ilium,mobile,ILIUM,,chrome 59.0 for android
sm-t377v,mobile,SM-T377V Build/NMF26X,Android 7.1.1,chrome 62.0 for android
one_a2005,mobile,ONE A2005 Build/MMB29M,Android 6.0.1,chrome 62.0 for android
sm-n910t,mobile,SM-N910T Build/MMB29M,Android 6.0.1,chrome 62.0 for android
android_51,mobile,Android 5.1,,other
xt1058,mobile,XT1058 Build/LPAS23.12-21.7-1,,chrome 62.0 for android
pixel_xl,mobile,Pixel XL Build/OPM1.171019.011,Android 8.1.0,chrome 63.0 for android
lg-tp260,mobile,LG-TP260 Build/NRD90U,Android 7.0,chrome 62.0 for android
sm-n900v,mobile,SM-N900V Build/LRX21V,Android 5.0,chrome 62.0 for android
moto_x_play,mobile,Moto X Play Build/NPD26.48-24-1,,chrome 62.0 for android
sky_50lm,mobile,SKY_5.0LM,,chrome 62.0 for android
sm-a320y,mobile,SM-A320Y Build/NRD90M,,chrome 62.0 for android
sm-t230nu,mobile,SM-T230NU Build/KOT49H,Android 4.4.2,chrome 62.0 for android
kftt,mobile,KFTT Build/IML74K,Android,silk
2ps64,mobile,2PS64 Build/NRD90M,Android 7.0,chrome 62.0 for android
stv100-2,mobile,STV100-2 Build/MMB29M,Android 6.0.1,chrome 62.0 for android
g3123,mobile,G3123 Build/40.0.A.6.135,,chrome 62.0 for android
samsung_sm-a300h,mobile,SAMSUNG SM-A300H Build/LRX22G,,chrome generic
z971,mobile,Z971,Android 7.1.1,chrome 62.0 for android
sm-g935w8,mobile,SM-G935W8,,chrome 62.0 for android
sm-p580,mobile,SM-P580 Build/NRD90M,Android 7.0,chrome 63.0 for android
samsung-sm-j320a,mobile,SAMSUNG-SM-J320A Build/MMB29K,Android 6.0.1,chrome 62.0 for android
samsung-sm-j727a,mobile,SAMSUNG-SM-J727A Build/NRD90M,Android 7.0,chrome 63.0 for android
verykools5030,mobile,VerykoolS5030,,chrome 61.0 for android
sm-j320p,mobile,SM-J320P Build/LMY47X,,chrome 63.0 for android
lgls751,mobile,LGLS751,Android 5.1.1,chrome 60.0 for android
f8331,mobile,F8331 Build/41.2.A.7.76,,chrome 62.0 for android
blade_l5,mobile,Blade L5 Build/LMY47I,,chrome 61.0 for android
tommy2,mobile,TOMMY2,,chrome 62.0 for android
rv500,desktop,rv:50.0,Mac OS X 10.10,firefox
sla-l03,mobile,SLA-L03 Build/HUAWEISLA-L03,,chrome 63.0 for android
sm-t280,mobile,SM-T280 Build/LMY47V,Android 5.1.1,chrome 62.0 for android
z837vl,mobile,Z837VL,Android 6.0.1,chrome
sm-a510f,mobile,SM-A510F Build/NRD90M,,chrome 63.0 for android
xt1580,mobile,XT1580,,chrome 63.0 for android
sm-t820,mobile,SM-T820 Build/NRD90M,Android 7.0,chrome generic for android
sm-g550t1,mobile,SM-G550T1 Build/MMB29K,Android 6.0.1,chrome 61.0 for android
lg-h871,mobile,LG-H871,Android 7.0,firefox
lg-ls993,mobile,LG-LS993 Build/NRD90U,Android 7.0,chrome 62.0 for android
sm-t377w,mobile,SM-T377W,Android 6.0.1,chrome 62.0 for android
xt1563,mobile,XT1563 Build/MPDS24.107-52-5,,chrome 60.0 for android
blade,mobile,Blade,,chrome 62.0 for android
verykools5019,mobile,verykoolS5019,,chrome 62.0 for android
sm-g360v,mobile,SM-G360V Build/LMY48B,Android 5.1.1,chrome 60.0 for android
lg-x210,mobile,LG-X210 Build/LMY47I,,chrome 62.0 for android
hi6210sft,mobile,hi6210sft Build/MRA58K,,chrome 62.0 for android
samsung_sm-t530nu,mobile,SAMSUNG SM-T530NU Build/LRX22G,Android 5.0.2,chrome generic
c6743,mobile,C6743 Build/LMY47V,Android 5.1.1,chrome generic
bln-l24,mobile,BLN-L24 Build/HONORBLN-L24,Android 7.0,chrome 62.0 for android
redmi_note_3,mobile,Redmi Note 3 Build/MMB29M,,chrome 62.0 for android
e6810,mobile,E6810 Build/5.320VZ.03.r,Android 7.1.2,chrome 62.0 for android
e6553,mobile,E6553,,chrome 63.0 for android
pixel_2_xl,mobile,Pixel 2 XL Build/OPM1.171019.011,Android 8.1.0,chrome 62.0 for android
z835,mobile,Z835 Build/NMF26V,Android 7.1.1,chrome 56.0 for android
lg-d725,mobile,LG-D725,Android 5.0.2,chrome 62.0 for android
xt1008,mobile,XT1008 Build/LPBS23.13-56-2,,chrome 62.0 for android
xt1040,mobile,XT1040,,chrome 62.0 for android
en-us,mobile,en-us,Android 4.4.2,chrome generic
sm-t807v,mobile,SM-T807V,Android 6.0.1,chrome 62.0 for android
vs996,mobile,VS996,Android 7.1.2,chrome 62.0 for android
e6853,mobile,E6853,,chrome 62.0 for android
lg-k550,mobile,LG-K550 Build/NRD90U,Android 7.0,chrome 62.0 for android
xt1030,mobile,XT1030 Build/SU6-7.7,,chrome 62.0 for android
lg-m154,mobile,LG-M154,,chrome 63.0 for android
sm-j700t,mobile,SM-J700T Build/NMF26X,Android 7.1.1,chrome 62.0 for android
8050g,mobile,8050G Build/LMY47I,,chrome 46.0 for android
sm-a500fu,mobile,SM-A500FU Build/MMB29M,,chrome 62.0 for android
sm-t337v,mobile,SM-T337V,Android 5.1.1,chrome 62.0 for android
samsung-sm-t377a,mobile,SAMSUNG-SM-T377A Build/MMB29K,Android 6.0.1,chrome 63.0 for android
helio,mobile,HELIO,,chrome 59.0 for android
blade_v7,mobile,BLADE V7 Build/MRA58K,,chrome 63.0 for android
sm-n950f,mobile,SM-N950F Build/NMF26X,,chrome 63.0 for android
xt1031,mobile,XT1031,Android,chrome 62.0 for android
samsung_sm-t710,mobile,SAMSUNG SM-T710 Build/NRD90M,,samsung browser 6.2
lenovo_tb-7703x,mobile,Lenovo TB-7703X Build/S100,,chrome 63.0 for android
lt30p,mobile,LT30p,,chrome 50.0 for android
mha-l09,mobile,MHA-L09 Build/HUAWEIMHA-L09,,chrome 62.0 for android
huawei_vns-l31,mobile,HUAWEI VNS-L31 Build/HUAWEIVNS-L31,,chrome 62.0 for android
hisense_l675_pro,mobile,Hisense L675 PRO Build/NRD90M,,chrome 63.0 for android
samsung-sm-g925a,mobile,SAMSUNG-SM-G925A Build/NRD90M,Android 7.0,chrome 63.0 for android
mi_a1,mobile,Mi A1 Build/N2G47H,,opera
sm-n900t,mobile,SM-N900T,Android 4.4.2,chrome 62.0 for android
vs425pp,mobile,VS425PP Build/LMY47V,Android 5.1.1,chrome generic
sm-j727t,mobile,SM-J727T Build/NRD90M,Android 7.0,chrome 63.0 for android
lg-x220,mobile,LG-X220 Build/LMY47I,,chrome 50.0 for android
att-ie11,desktop,ATT-IE11,Windows 7,ie 11.0 for desktop
samsung_sm-g900f,mobile,SAMSUNG SM-G900F Build/MMB29M,,samsung browser 6.2
blade_v8,mobile,BLADE V8 Build/NRD90M,,chrome 58.0 for android
sm-j700t1,mobile,SM-J700T1 Build/NMF26X,Android 7.1.1,chrome 63.0 for android
sm-g930r7,mobile,SM-G930R7,Android 7.0,chrome 63.0 for android
lgus215,mobile,LGUS215 Build/NRD90U,Android 7.0,chrome 62.0 for android
sm-t237p,mobile,SM-T237P,Android 5.1.1,chrome 62.0 for android
ta-1038,mobile,TA-1038,,chrome 63.0 for android
sm-g930w8,mobile,SM-G930W8 Build/NRD90M,Android 7.0,chrome 63.0 for android
sm-g950w,mobile,SM-G950W,,chrome 60.0 for android
sm-j100vpp,mobile,SM-J100VPP Build/LMY48B,Android 5.1.1,chrome 63.0 for android
lgls990,mobile,LGLS990,Android,chrome 62.0 for android
sm-a500h,mobile,SM-A500H,Android 6.0.1,chrome 62.0 for android
f3313,mobile,F3313 Build/37.0.A.2.108,,chrome 63.0 for android
sm-g900i,mobile,SM-G900I,,chrome 61.0 for android
sm-t813,mobile,SM-T813 Build/NRD90M,Android 7.0,chrome 62.0 for android
rv310,desktop,rv:31.0,,firefox
sm-j730gm,mobile,SM-J730GM Build/NRD90M,,chrome 63.0 for android
h1711,mobile,H1711 Build/HUAWEIH1711,Android 7.0,chrome 62.0 for android
lg-v930,mobile,LG-V930,Android 6.0,chrome 63.0 for android
lg-k240,mobile,LG-K240 Build/MXB48T,,chrome 62.0 for android
z982,mobile,Z982 Build/NMF26V,,chrome 63.0 for android
samsung_sm-j700t,mobile,SAMSUNG SM-J700T Build/NMF26X,Android 7.1.1,samsung browser 6.2
rv440,desktop,rv:44.0,Windows 7,firefox
xt1055,mobile,XT1055,Android,chrome 60.0 for android
xt1575,mobile,XT1575,Android 7.0,chrome 63.0 for android
sm-j327p,mobile,SM-J327P Build/MMB29M,Android 6.0.1,chrome 62.0 for android
huawei_g7-l03,mobile,HUAWEI G7-L03 Build/HuaweiG7-L03,,chrome 60.0 for android
sm-p900,mobile,SM-P900,Android 5.0.2,chrome 63.0 for android
samsung_sm-n920t,mobile,SAMSUNG SM-N920T Build/NRD90M,Android 7.0,samsung browser 6.2
blade_a510,mobile,Blade A510 Build/MRA58K,,chrome 61.0 for android
lgl62vl,mobile,LGL62VL,Android 5.1.1,chrome 43.0 for android
bbb100-3,mobile,BBB100-3,Android 7.1.1,chrome 63.0 for android
sm-n910c,mobile,SM-N910C Build/MMB29K,,chrome 61.0 for android
lg-ls997,mobile,LG-LS997 Build/NRD90M,Android 7.0,chrome 63.0 for android
sm-n950w,mobile,SM-N950W,,chrome 62.0 for android
4027a,mobile,4027A Build/KOT49H,,chrome 54.0 for android
rv530,desktop,rv:53.0,Windows 10,firefox
zte,mobile,ZTE,,chrome 62.0 for android
lg-m150,mobile,LG-M150,,chrome 62.0 for android
htc_one,mobile,HTC One Build/LRX22G,Android 5.0.2,chrome 63.0 for android
samsung_sm-g925p,mobile,SAMSUNG SM-G925P Build/NRD90M,Android 7.0,samsung browser 6.2
samsung_sm-g570m,mobile,SAMSUNG SM-G570M Build/MMB29K,,samsung browser 6.2
lg-h830,mobile,LG-H830 Build/NRD90U,Android 7.0,chrome 62.0 for android
samsung_sm-n920p,mobile,SAMSUNG SM-N920P Build/NRD90M,Android 7.0,samsung browser 5.4
samsung-sm-g890a,mobile,SAMSUNG-SM-G890A Build/MMB29K,Android 6.0.1,chrome 63.0 for android
samsung_sm-g920t,mobile,SAMSUNG SM-G920T Build/NRD90M,Android 7.0,samsung browser 6.2
samsung_sm-n920a,mobile,SAMSUNG SM-N920A Build/NRD90M,Android 7.0,samsung browser 6.2
rv460,desktop,rv:46.0,Mac OS X 10.13,firefox
sm-t800,mobile,SM-T800 Build/MMB29K,,chrome 62.0 for android
hp2015,desktop,hp2015,Windows 7,ie 11.0 for desktop
samsung_sm-g903f,mobile,SAMSUNG SM-G903F Build/MMB29K,,samsung browser 6.2
sm-j100mu,mobile,SM-J100MU,,chrome 61.0 for android
e6833,mobile,E6833,,chrome 62.0 for android
sm-g920w8,mobile,SM-G920W8,,chrome 63.0 for android
5010g,mobile,5010G Build/MRA58K,,chrome 52.0 for android
a3_mini,mobile,A3_mini,,android webview 4.0
xt1528,mobile,XT1528,Android,chrome 62.0 for android
rv390,desktop,rv:39.0,Windows 7,firefox
sm-n900w8,mobile,SM-N900W8 Build/LRX21V,,chrome 62.0 for android
sm-g920t1,mobile,SM-G920T1,,chrome 56.0 for android
hp,mobile,HP,,chrome 60.0 for android
sm-s820l,mobile,SM-S820L,,chrome 62.0 for android
samsung_sm-g850fg850fxxs2cqd9,mobile,SAMSUNG SM-G850F/G850FXXS2CQD9 Build/LRX22G,,chrome generic
lg-h850,mobile,LG-H850,,chrome 59.0 for android
redmi,mobile,Redmi,,chrome 63.0 for android
d6708,mobile,D6708,Android 5.1.1,chrome 61.0 for android
lg-h900h90022b,mobile,LG-H900/H90022b,Android 6.0,android webview 4.0
samsung-sm-g920a,mobile,SAMSUNG-SM-G920A Build/NRD90M,Android 7.0,chrome 63.0 for android
huawei_can-l01,mobile,HUAWEI CAN-L01 Build/HUAWEICAN-L01,,chrome 63.0 for android
samsung_sm-g935p,mobile,SAMSUNG SM-G935P Build/NRD90M,Android 7.0,samsung browser 6.2
wow64,desktop,WOW64,Windows 7,ie 11.0 for desktop
samsung_sm-j327t1,mobile,SAMSUNG SM-J327T1 Build/NRD90M,Android 7.0,samsung browser 6.2
cro-l03,mobile,CRO-L03 Build/HUAWEICRO-L03,,chrome 62.0 for android
hisense_f23,mobile,Hisense F23 Build/NRD90M,,chrome 63.0 for android
lg-k373,mobile,LG-K373,Android 6.0,chrome 62.0 for android
sm-g530p,mobile,SM-G530P,Android 5.1.1,chrome 63.0 for android
sm-j320fn,mobile,SM-J320FN Build/LMY47V,,chrome 61.0 for android
moto_x4,mobile,moto x4 Build/NPW26.83-18-2-0-4,,chrome 63.0 for android
ilium_x210,mobile,Ilium X210 Build/LMY47I,,chrome 63.0 for android
htc6545lvw,mobile,HTC6545LVW,Android 7.0,chrome 63.0 for android
sm-s902l,mobile,SM-S902L,Android 4.4.2,chrome 63.0 for android
c2104,mobile,C2104,,chrome 60.0 for android
samsung-sm-t537a,mobile,SAMSUNG-SM-T537A,,chrome 62.0 for android
vs990,mobile,VS990 Build/MRA58K,Android 6.0,chrome 61.0 for android
5056a,mobile,5056A Build/MMB29M,,chrome 63.0 for android
lenovo_a6020l37,mobile,Lenovo A6020l37 Build/LMY47V,,chrome 62.0 for android
samsung-sm-g928a,mobile,SAMSUNG-SM-G928A Build/NRD90M,Android 7.0,chrome 62.0 for android
ph-1,mobile,PH-1,Android 7.1.1,chrome 63.0 for android
g3423,mobile,G3423,,chrome 63.0 for android
e5803,mobile,E5803 Build/32.4.A.1.54,,chrome 62.0 for android
hisense_u963,mobile,Hisense U963 Build/MRA58K,,chrome 62.0 for android
htc_one_m8,mobile,HTC One_M8 Build/MRA58K,Android 6.0,chrome 63.0 for android
samsung_sm-g530t,mobile,SAMSUNG SM-G530T Build/LMY47X,Android 5.1.1,other
sm-p355m,mobile,SM-P355M Build/MMB29M,,chrome 61.0 for android
one_touch_4016a,mobile,ONE TOUCH 4016A Build/JDQ39,,chrome 61.0 for android
ilium_x510,mobile,Ilium X510 Build/MRA58K,,chrome 63.0 for android
blade_a520,mobile,BLADE A520 Build/NRD90M,,chrome 60.0 for android
vs986,mobile,VS986 Build/MRA58K,Android 6.0,chrome 63.0 for android
xt1609,mobile,XT1609 Build/MPIS24.241-2.35-1-17,Android 6.0.1,chrome 62.0 for android
lg-d855,mobile,LG-D855 Build/LRX21R,,chrome 62.0 for android
lg-h631,mobile,LG-H631,Android 6.0,chrome 59.0 for android
fp2,mobile,FP2,,chrome 62.0 for android
gt-n5110,mobile,GT-N5110,Android 4.4.2,chrome 61.0 for android
m3,mobile,m3,,chrome 62.0 for android
sm-g955u1,mobile,SM-G955U1 Build/NRD90M,Android 7.0,chrome 63.0 for android
sm-j530gm,mobile,SM-J530GM Build/NRD90M,,chrome 63.0 for android
kfsuwi,mobile,KFSUWI Build/LVY48F,Android 5.1.1,chrome generic
r1,mobile,R1,Android 6.0,chrome 62.0 for android
blade_l2_plus,mobile,Blade L2 Plus Build/KOT49H,,ZTE/Blade
samsung_sm-g925f,mobile,SAMSUNG SM-G925F Build/NRD90M,,samsung browser 6.2
lg-v521,mobile,LG-V521,Android 6.0.1,chrome 63.0 for android
sch-i435,mobile,SCH-I435,Android 4.4.2,chrome 63.0 for android
sm-g928t,mobile,SM-G928T Build/NRD90M,Android 7.0,chrome 62.0 for android
p027,mobile,P027,Android 7.0,chrome 63.0 for android
5054s,mobile,5054S Build/LMY47V,,chrome 43.0 for android
sm-j327t1,mobile,SM-J327T1 Build/NRD90M,,chrome 60.0 for android
p00c,mobile,P00C,Android 7.0,chrome 61.0 for android
samsung_sm-g920f,mobile,SAMSUNG SM-G920F Build/NRD90M,,samsung browser 6.2
lenovo_tb-x103f,mobile,Lenovo TB-X103F Build/LenovoTB-X103F,Android 6.0.1,chrome 59.0 for android
revvlplus,mobile,REVVLPLUS,Android 7.1.1,chrome 58.0 for android
lg-m430,mobile,LG-M430 Build/NRD90U,Android 7.0,chrome 63.0 for android
xt1060,mobile,XT1060,Android,chrome 63.0 for android
huawei_nxt-l09,mobile,HUAWEI NXT-L09 Build/HUAWEINXT-L09,,chrome 62.0 for android
lenovoa3300-gv,mobile,LenovoA3300-GV Build/JDQ39,,chrome 62.0 for android
rv350,desktop,rv:35.0,Mac OS X 10.9,firefox
kfmewi,mobile,KFMEWI,Android 5.1.1,chrome generic
le_x520,mobile,Le X520 Build/IEXCNFN5902303111S,,chrome 62.0 for android
lg-m327,mobile,LG-M327 Build/NRD90U,Android 7.0,chrome 56.0 for android
pspc550,mobile,PSPC550 Build/LMY47D,,chrome 63.0 for android
sm-g930vl,mobile,SM-G930VL Build/NRD90M,Android 7.0,chrome 63.0 for android
stv100-3,mobile,STV100-3,Android 6.0.1,chrome 63.0 for android
samsung_sm-n950u1,mobile,SAMSUNG SM-N950U1 Build/NMF26X,,samsung browser 6.2
samsung_sm-a720f,mobile,SAMSUNG SM-A720F Build/NRD90M,,samsung browser 6.2
sm-g355m,mobile,SM-G355M Build/KOT49H,,chrome 62.0 for android
me173x,mobile,ME173X,Android,chrome 63.0 for android
gt-s7580l,mobile,GT-S7580L Build/JDQ39,,chrome 55.0 for android
alcatel,mobile,ALCATEL,,chrome 61.0 for android
nxa116qc164,mobile,NXA116QC164,Android 5.0,chrome 63.0 for android
zte_blade_l5,mobile,ZTE Blade L5 Build/LMY47I,,chrome 60.0 for android
sm-g925f,mobile,SM-G925F Build/NRD90M,,chrome 59.0 for android
ax820,mobile,AX820 Build/MRA58K,,chrome 63.0 for android
sm-g360m,mobile,SM-G360M,,chrome 63.0 for android
v40r,mobile,V.40R,,chrome 62.0 for android
blu,mobile,BLU,,chrome 59.0 for android
malc,desktop,MALC,Windows 7,ie 11.0 for desktop
asus_z00ed,mobile,ASUS_Z00ED,,android webview 4.0
sh-04f,mobile,SH-04F,,chrome
trekker-x3,mobile,TREKKER-X3 Build/MMB29M,,chrome 63.0 for android
blade_l7,mobile,BLADE L7 Build/MRA58K,,chrome 63.0 for android
nexus_5,mobile,Nexus 5 Build/M4B30Z,,chrome 63.0 for android
venue,mobile,Venue,Android 5.0.2,chrome 63.0 for android
samsung_sm-j327a,mobile,SAMSUNG SM-J327A Build/NRD90M,Android 7.0,samsung browser 6.2
sm-t310,mobile,SM-T310 Build/KOT49H,,chrome 63.0 for android
android_70,mobile,Android 7.0,,
sm-a310f,mobile,SM-A310F Build/MMB29K,,chrome 61.0 for android
vs880pp,mobile,VS880PP,Android 5.1.1,chrome 56.0 for android
snow4,desktop,S.N.O.W.4,Windows 7,ie 11.0 for desktop
sm-j727t1,mobile,SM-J727T1 Build/NRD90M,,chrome 63.0 for android
samsung-sm-n900a,mobile,SAMSUNG-SM-N900A,,chrome 62.0 for android
samsung_sm-g900t,mobile,SAMSUNG SM-G900T Build/MMB29M,Android 6.0.1,samsung browser 6.2
sgh-i337m,mobile,SGH-I337M Build/LRX22C,,chrome 63.0 for android
mami,desktop,MAMI,,ie 11.0 for desktop
m4,mobile,M4,,chrome 62.0 for android
sm-n9005,mobile,SM-N9005 Build/LRX21V,,chrome 61.0 for android
trekker-m1,mobile,TREKKER-M1,,chrome 62.0 for android
sch-i535,mobile,SCH-I535,Android 4.4.2,chrome 63.0 for android
lg-v496,mobile,LG-V496,Android 5.0.2,chrome 62.0 for android
nokia,mobile,NOKIA,,edge
sgh-i317m,mobile,SGH-I317M,,chrome 63.0 for android
turbo_c5,mobile,Turbo C5 Build/LMY47I,,chrome 59.0 for android
lg-h540,mobile,LG-H540,,other
z963vl,mobile,Z963VL,Android 5.1.1,chrome 63.0 for android
samsung_sm-j327p,mobile,SAMSUNG SM-J327P Build/MMB29M,,samsung browser 6.2
vfd,mobile,VFD,Android 6.0,chrome 61.0 for android
sm-s906l,mobile,SM-S906L,Android 5.0.2,chrome 59.0 for android
huawei_y560-l03,mobile,HUAWEI Y560-L03 Build/HUAWEIY560-L03,,chrome 61.0 for android
pra-lx1,mobile,PRA-LX1 Build/HUAWEIPRA-LX1,,chrome 63.0 for android
lg-h443h44312g,mobile,LG-H443/H44312g,Android 5.1.1,android browser 4.0
lenovo_tb2-x30f,mobile,Lenovo TB2-X30F Build/LenovoTB2-X30F,,chrome 63.0 for android
2pyb2,mobile,2PYB2,,chrome 63.0 for android
htc_one_a9s,mobile,HTC One A9s Build/MRA58K,,chrome 63.0 for android
lg-k450,mobile,LG-K450 Build/MXB48T,Android 6.0.1,chrome 63.0 for android
sm-n950u1,mobile,SM-N950U1 Build/NMF26X,,chrome 63.0 for android
zte-z835,mobile,ZTE-Z835,Android 7.1.1,other
xt1033,mobile,XT1033,Android,chrome 63.0 for android
sm-g900r4,mobile,SM-G900R4,Android 6.0.1,chrome 62.0 for android
lg-k430,mobile,LG-K430 Build/MRA58K,,chrome 63.0 for android
g8141,mobile,G8141 Build/47.1.A.5.51,,chrome 63.0 for android
z956,mobile,Z956 Build/MMB29M,Android 6.0.1,chrome 62.0 for android
vs880,mobile,VS880,Android 5.1.1,chrome 59.0 for android
5049w,mobile,5049W Build/NRD90M,Android 7.0,chrome 62.0 for android
bla-l29,mobile,BLA-L29 Build/HUAWEIBLA-L29,,chrome 63.0 for android
5057m,mobile,5057M,,chrome 63.0 for android
blade_a460,mobile,Blade A460 Build/LMY47O,,chrome 62.0 for android
blu_life_xl,mobile,BLU LIFE XL Build/L050U,,chrome 62.0 for android
coolpad,mobile,Coolpad,Android 7.1.1,chrome 62.0 for android
vivo,mobile,Vivo,Android 6.0,chrome 63.0 for android
sm-g930t1,mobile,SM-G930T1,Android 7.0,chrome 63.0 for android
2pzc5,mobile,2PZC5,Android 7.1.1,chrome 63.0 for android
sm-t113,mobile,SM-T113 Build/KTU84P,,chrome 63.0 for android
att,desktop,ATT,Windows 7,ie 11.0 for desktop
studio,mobile,Studio,Android 6.0,chrome 63.0 for android
z959,mobile,Z959 Build/LMY47V,Android 5.1.1,chrome 57.0 for android
zte_blade_a321,mobile,ZTE BLADE A321 Build/NMF26F,,chrome 63.0 for android
htc6535lvw,mobile,HTC6535LVW,Android 7.0,chrome 63.0 for android
lg-x165g,mobile,LG-X165g Build/LRX21M,,chrome 62.0 for android
sm-j327t,mobile,SM-J327T Build/NRD90M,Android 7.0,chrome 61.0 for android
slay,mobile,SLAY,,android webview 4.0
orbis,mobile,orbis,,chrome 63.0 for android
samsung_sm-g925i,mobile,SAMSUNG SM-G925I Build/NRD90M,,samsung browser 6.2
s57,mobile,S57 Build/KTU84P,,chrome 60.0 for android
samsung_sm-a510m,mobile,SAMSUNG SM-A510M Build/NRD90M,,samsung browser 6.2
samsung_sm-j111m,mobile,SAMSUNG SM-J111M Build/LMY47V,,chrome generic
sch-i545,mobile,SCH-I545 Build/LRX22C,Android,chrome 63.0 for android
lg-h345,mobile,LG-H345,,chrome 61.0 for android
sm-s907vl,mobile,SM-S907VL,,chrome 59.0 for android
sm-j727vpp,mobile,SM-J727VPP Build/NRD90M,,chrome 63.0 for android
lgl58vl,mobile,LGL58VL,Android 6.0.1,chrome 62.0 for android
samsung_sm-p580,mobile,SAMSUNG SM-P580 Build/NRD90M,,samsung browser 6.2
9003a,mobile,9003A Build/MRA58K,,chrome 61.0 for android
