card_id,card4,card6,card1
C00280-K2,mastercard,debit,
C03488-K2,mastercard,credit,
C06005-K1,american express,credit,
C09260-K1,mastercard,credit,
C11053-K1,mastercard,debit,
C05174-K1,american express,credit,
C01224-K1,visa,credit,
C00667-K1,american express,credit,
C08597-K2,mastercard,debit,
C05243-K1,visa,debit,
C09664-K1,american express,credit,
C09582-K1,mastercard,debit,
C07872-K2,mastercard,debit,
C09899-K1,american express,credit,
C00956-K1,visa,debit,
C08290-K2,visa,credit,
C01122-K1,mastercard,credit,
C01178-K1,mastercard,debit,
C05747-K1,mastercard,credit,
C08727-K1,mastercard,credit,
C11329-K1,visa,credit,
C10962-K1,visa,debit,
C07448-K1,visa,debit,
C06742-K1,visa,debit,
C12785-K2,mastercard,debit,
C06956-K1,american express,credit,
C11871-K1,visa,debit,
C05487-K1,american express,credit,
C08605-K1,mastercard,debit,
C05985-K2,mastercard,credit,
C06067-K2,mastercard,debit,
C05585-K1,visa,debit,
C10634-K1,mastercard,credit,
C08909-K2,visa,debit,
C09799-K1,visa,debit,
C10333-K1,mastercard,debit,
C07840-K1,visa,debit,
C12399-K1,visa,debit,
C02753-K1,visa,credit,
C12682-K1,mastercard,credit,
C09939-K1,mastercard,credit,
C11034-K1,mastercard,credit,
C01765-K1,visa,debit,
C11906-K1,visa,debit,
C12901-K1,visa,debit,
C04185-K2,mastercard,debit,
C03527-K1,visa,credit,
C13507-K1,visa,credit,
C03831-K1,visa,debit,
C05967-K1,mastercard,debit,
C04803-K1,visa,debit,
C02686-K1,american express,credit,
C04860-K1,visa,credit,
C13254-K1,mastercard,credit,
C05039-K1,american express,credit,
C05484-K1,visa,debit,
C11577-K1,visa,debit,
C00018-K1,mastercard,debit,
C01784-K1,mastercard,debit,
C08455-K1,visa,debit,
C10838-K1,american express,credit,
C05390-K1,mastercard,debit,
C09530-K1,mastercard,debit,
C07033-K1,visa,debit,
C09999-K1,american express,credit,
C00606-K1,visa,credit,
C09691-K1,visa,debit,
C03971-K1,mastercard,credit,
C06986-K1,visa,debit,
C02554-K1,american express,credit,
C13268-K1,visa,debit,
C09884-K1,visa,credit,
C07086-K1,visa,debit,
C10900-K1,mastercard,credit,
C12578-K1,visa,debit,
C03571-K1,american express,credit,
C01010-K1,visa,debit,
C08108-K1,discover,credit,
C03181-K1,visa,debit,
C01140-K1,visa,credit,
C05142-K1,visa,debit,
C05916-K1,visa,credit,
C03778-K1,mastercard,credit,
C09804-K1,visa,debit,
C06606-K1,visa,credit,
C03708-K2,mastercard,credit,
C13256-K1,mastercard,debit,
C13095-K1,visa,credit,
C06795-K1,visa,debit,
C07162-K1,mastercard,credit,
C03096-K1,american express,credit,
C07180-K1,visa,credit,
C03824-K1,visa,credit,
C01295-K1,mastercard,credit,
C11933-K1,visa,credit,
C03273-K1,visa,debit,
C09047-K1,mastercard,credit,
C10935-K1,mastercard,debit,
C09665-K1,american express,credit,
C13392-K1,visa,credit,
C00391-K1,visa,credit,
C06437-K1,visa,debit,
C10207-K1,mastercard,debit,
C02226-K1,visa,debit,
C10092-K1,visa,debit,
C12412-K1,visa,credit,
C07522-K1,visa,debit,
C12160-K1,visa,credit,
C10045-K1,mastercard,credit,
C10388-K1,mastercard,credit,
C05141-K1,american express,credit,
C08799-K1,visa,debit,
C09249-K1,visa,debit,
C03650-K1,visa,credit,
C00604-K1,american express,credit,
C13163-K1,mastercard,credit,
C12305-K1,american express,credit,
C11199-K1,visa,credit,
C11239-K1,mastercard,debit,
C12586-K1,visa,debit,
C04641-K1,mastercard,debit,
C00637-K1,visa,debit,
C06134-K1,mastercard,debit,
C07035-K1,visa,credit,
C09947-K1,mastercard,debit,
C07612-K1,visa,credit,
C04150-K1,american express,credit,
C07053-K1,american express,credit,
C01810-K1,visa,debit,
C13514-K1,visa,credit,
C11156-K1,mastercard,debit,
C11998-K1,american express,credit,
C09159-K1,mastercard,debit,
C11291-K1,visa,debit,
C04424-K1,american express,credit,
C04022-K1,visa,credit,
C13328-K1,visa,credit,
C10276-K1,american express,credit,
C11780-K1,visa,debit,
C12211-K2,visa,debit,
C08375-K1,mastercard,credit,
C11257-K1,visa,debit,
C00463-K1,american express,credit,
C08111-K1,visa,debit,
C00820-K1,mastercard,debit,
C08980-K1,visa,debit,
C03394-K2,mastercard,debit,
C12646-K1,visa,debit,
C03050-K1,american express,credit,
C11010-K1,visa,debit,
C12773-K1,american express,credit,
C05008-K1,visa,debit,
C05215-K1,mastercard,debit,
C08748-K1,american express,credit,
C10835-K2,visa,debit,
C03630-K1,american express,credit,
C02377-K1,mastercard,credit,
C04921-K2,mastercard,credit,
C00400-K1,visa,debit,
C10442-K1,mastercard,debit,
C12291-K1,mastercard,debit,
C11929-K2,visa,debit,
C06339-K1,mastercard,credit,
C09757-K1,visa,debit,
C09602-K1,mastercard,credit,
C05294-K1,mastercard,credit,
C10055-K1,visa,debit,
C01370-K1,mastercard,debit,
C09173-K1,mastercard,credit,
C06313-K1,visa,debit,
C04848-K1,american express,credit,
C12658-K1,american express,credit,
C06948-K1,american express,credit,
C02111-K1,visa,credit,
C10263-K1,visa,credit,
C05312-K1,visa,debit,
C06954-K1,visa,debit,
C00210-K1,visa,credit,
C01459-K1,visa,debit,
C00871-K1,visa,credit,
C05011-K1,visa,debit,
C04618-K1,visa,credit,
C10770-K1,mastercard,debit,
C09803-K1,visa,debit,
C04258-K1,mastercard,credit,
C06117-K1,mastercard,debit,
C04776-K1,visa,credit,
C10890-K1,visa,debit,
C10390-K1,mastercard,credit,
C06788-K1,american express,credit,
C06303-K1,visa,debit,
C00745-K1,mastercard,credit,
C04010-K1,american express,credit,
C00969-K2,visa,debit,
C08944-K1,visa,debit,
C00580-K1,american express,credit,
C02559-K1,visa,debit,
C02094-K1,visa,credit,
C00841-K1,mastercard,credit,
C13404-K1,visa,debit,
C05871-K1,mastercard,credit,
C08632-K1,american express,credit,
C03696-K1,visa,debit,
C07944-K1,visa,credit,
C06036-K1,visa,debit,
C09616-K1,visa,debit,
C07293-K1,mastercard,credit,
C04834-K1,mastercard,debit,
C06779-K1,visa,debit,
C02139-K1,american express,credit,
C12251-K1,american express,credit,
C11713-K1,visa,debit,
C10733-K1,,debit,
C02639-K1,visa,credit,
C10898-K1,visa,credit,
C07505-K1,visa,debit,
C10879-K1,visa,credit,
C01685-K1,visa,debit,
C10399-K1,visa,debit,
C12136-K2,visa,credit,
C11749-K1,american express,credit,
C07194-K1,mastercard,credit,
C10601-K1,mastercard,credit,
C10520-K1,american express,credit,
C10906-K1,visa,debit,
C05957-K2,visa,debit,
C09121-K1,visa,credit,
C07523-K1,visa,debit,
C00513-K1,mastercard,debit,
C00334-K1,american express,credit,
C03637-K1,visa,credit,
C04280-K1,mastercard,credit,
C06269-K1,mastercard,credit,
C02810-K1,visa,debit,
C12983-K1,mastercard,credit,
C12744-K1,visa,credit,
C07394-K1,visa,debit,
C09876-K1,mastercard,credit,
C07969-K1,american express,credit,
C02945-K1,visa,debit,
C03925-K1,visa,credit,
C03707-K1,mastercard,credit,
C02618-K2,visa,credit,
C05712-K1,visa,credit,
C12690-K2,visa,debit,
C00197-K1,visa,credit,
C03950-K1,mastercard,credit,
C13423-K1,visa,debit,
C06075-K1,american express,credit,
C09557-K1,visa,debit,
C13119-K1,mastercard,credit,
C12705-K2,visa,debit,
C04542-K1,visa,credit,
C11964-K1,visa,debit,
C05231-K1,visa,debit,
C00267-K1,visa,debit,
C09426-K1,mastercard,credit,
C11500-K1,mastercard,credit,
C12385-K1,american express,credit,
C01339-K1,visa,credit,
C06130-K1,visa,credit,
C01627-K1,mastercard,credit,
C09698-K1,mastercard,debit,
C11842-K1,mastercard,credit,
C10752-K1,visa,debit,
C02330-K1,visa,debit,
C12295-K2,mastercard,debit,
C11475-K1,mastercard,credit,
C01350-K1,american express,credit,
C00368-K1,mastercard,debit,
C04727-K2,mastercard,debit,
C06991-K1,visa,credit,
C08953-K1,visa,debit,
C08196-K1,visa,credit,
C01149-K1,visa,credit,
C11472-K1,american express,credit,
C08206-K2,visa,debit,
C11633-K1,mastercard,credit,
C04386-K1,visa,debit,
C05369-K1,mastercard,debit,
C09337-K1,mastercard,credit,
C09983-K1,mastercard,credit,
C07792-K1,visa,debit,
C10306-K1,visa,credit,
C11158-K1,visa,debit,
C10381-K1,visa,debit,
C01489-K1,visa,debit,
C10349-K1,visa,credit,
C07879-K1,mastercard,credit,
C04587-K1,visa,debit,
C00114-K1,american express,credit,
C07354-K2,visa,debit,
C05445-K1,visa,debit,
C02653-K1,visa,debit,
C01089-K1,visa,credit,
C08478-K1,mastercard,debit,
C01363-K1,visa,debit,
C03528-K1,mastercard,debit,
C05153-K1,mastercard,credit,
C12492-K1,visa,credit,
C03856-K1,mastercard,credit,
C09601-K1,visa,debit,
C07794-K1,visa,debit,
C05868-K1,american express,credit,
C01035-K1,american express,credit,
C06836-K1,mastercard,debit,
C09735-K1,visa,debit,
C11747-K1,visa,debit,
C00773-K2,mastercard,debit,
C04352-K1,mastercard,credit,
C04004-K1,mastercard,credit,
C07076-K1,mastercard,credit,
C04294-K1,visa,debit,
C08635-K1,visa,debit,
C02513-K1,mastercard,debit,
C06750-K1,mastercard,credit,
C12634-K1,visa,debit,
C06660-K1,visa,credit,
C06899-K1,visa,credit,
C01996-K2,visa,debit,
C10285-K1,mastercard,credit,
C00681-K1,visa,credit,
C04938-K1,american express,credit,
C00059-K2,visa,debit,
C05470-K1,visa,credit,
C10287-K1,visa,debit,
C11388-K1,american express,credit,
C02609-K1,visa,debit,
C02079-K1,visa,credit,
C09529-K1,visa,credit,
C02963-K1,mastercard,credit,
C10508-K1,visa,credit,
C08807-K1,visa,credit,
C07267-K1,visa,debit,
C02031-K1,mastercard,credit,
C07858-K2,visa,debit,
C11188-K1,visa,credit,
C12811-K1,mastercard,credit,
C03967-K1,mastercard,debit,
C12574-K1,visa,credit,
C00693-K1,visa,debit,
C04962-K2,mastercard,credit,
C13374-K1,visa,debit,
C03906-K1,visa,credit,
C02326-K1,mastercard,debit,
C10456-K1,visa,credit,
C07434-K1,visa,debit,
C04332-K1,visa,credit,
C05786-K2,visa,debit,
C04118-K2,mastercard,debit,
C08578-K1,visa,debit,
C12044-K1,mastercard,credit,
C08250-K1,visa,credit,
C04828-K2,mastercard,debit,
C02284-K1,mastercard,debit,
C01400-K1,mastercard,credit,
C00137-K1,visa,credit,
C03904-K1,visa,credit,
C05611-K1,visa,credit,
C00149-K1,american express,credit,
C10599-K1,visa,debit,
C04744-K1,visa,credit,
C04450-K1,mastercard,debit,
C07347-K1,mastercard,debit,
C09231-K1,american express,credit,
C06514-K1,visa,debit,
C06167-K1,visa,debit,
C00337-K1,visa,credit,
C00088-K1,visa,credit,
C11348-K1,american express,credit,
C06929-K1,visa,credit,
C11937-K1,visa,credit,
C02393-K2,visa,debit,
C06175-K1,visa,debit,
C05314-K1,visa,debit,
C13122-K1,visa,credit,
C12060-K1,visa,debit,
C10948-K1,visa,credit,
C10678-K1,visa,debit,
C12552-K1,american express,credit,
C04601-K2,mastercard,credit,
C00835-K1,american express,credit,
C09998-K1,visa,debit,
C02334-K1,american express,credit,
C04778-K1,visa,credit,
C06617-K1,visa,debit,
C04282-K1,visa,debit,
C05140-K1,visa,debit,
C06979-K1,visa,credit,
C12655-K1,visa,debit,
C12274-K1,mastercard,debit,
C07400-K2,visa,credit,
C08495-K1,visa,debit,
C00953-K1,visa,credit,
C05125-K1,mastercard,debit,
C06443-K1,visa,credit,
C12012-K1,mastercard,debit,
C02035-K1,visa,credit,
C07469-K1,american express,credit,
C12509-K2,mastercard,credit,
C09733-K1,visa,debit,
C05292-K1,visa,credit,
C07044-K1,visa,credit,
C10328-K1,mastercard,debit,
C03504-K1,american express,credit,
C04844-K1,mastercard,credit,
C00782-K1,visa,debit,
C13504-K1,visa,credit,
C09631-K1,visa,debit,
C08477-K1,visa,debit,
C12097-K1,mastercard,debit,
C07673-K1,american express,debit,
C04933-K1,mastercard,credit,
C00795-K1,american express,credit,
C06657-K1,visa,debit,
C09696-K1,visa,debit,
C04210-K1,mastercard,debit,
C05519-K2,visa,debit,
C10742-K1,mastercard,debit,
C02782-K2,visa,debit,
C02371-K2,mastercard,debit,
C05426-K1,visa,debit,
C12815-K1,american express,credit,
C06811-K1,mastercard,debit,
C10344-K2,mastercard,debit,
C07215-K1,visa,credit,
C05572-K1,visa,debit,
C04588-K1,visa,credit,
C03351-K2,mastercard,credit,
C02195-K1,visa,credit,
C07571-K1,mastercard,debit,
C03975-K1,american express,credit,
C05276-K2,visa,debit,
C11682-K1,visa,debit,
C05212-K2,visa,debit,
C05690-K1,mastercard,credit,
C03060-K1,visa,debit,
C13060-K1,american express,credit,
C09438-K1,american express,credit,
C04434-K1,visa,debit,
C05382-K1,visa,credit,
C03685-K2,visa,debit,
C13012-K1,visa,debit,
C12230-K1,mastercard,debit,
C07356-K1,visa,credit,
C01070-K1,visa,debit,
C13414-K1,visa,credit,
C11005-K1,visa,credit,
C08494-K1,american express,credit,
C02089-K1,american express,credit,
C06821-K1,mastercard,debit,
C08710-K1,visa,credit,
C00163-K1,american express,credit,
C12409-K1,visa,debit,
C08297-K1,visa,credit,
C08528-K1,visa,debit,
C12865-K1,visa,credit,
C03151-K2,mastercard,debit,
C12296-K1,visa,debit,
C04873-K1,mastercard,credit,
C13140-K1,visa,credit,
C11427-K1,american express,credit,
C00849-K1,visa,credit,
C10831-K1,mastercard,debit,
C11037-K1,visa,debit,
C04299-K1,visa,credit,
C01672-K1,mastercard,credit,
C03864-K1,visa,debit,
C10736-K1,visa,debit,
C11414-K1,american express,credit,
C04881-K1,visa,credit,
C03561-K1,visa,debit,
C02018-K2,visa,debit,
C04551-K1,visa,debit,
C06096-K1,american express,credit,
C09680-K2,visa,credit,
C02084-K2,mastercard,debit,
C07367-K1,mastercard,debit,
C03871-K1,american express,credit,
C01388-K1,visa,credit,
C08737-K1,mastercard,credit,
C10170-K1,visa,debit,
C11609-K1,american express,credit,
C05807-K1,american express,credit,
C04157-K1,american express,credit,
C02063-K1,visa,debit,
C07606-K1,mastercard,credit,
C12084-K2,visa,debit,
C12525-K1,visa,debit,
C13456-K1,mastercard,credit,
C03470-K1,mastercard,debit,
C06494-K2,visa,debit,
C00594-K1,visa,credit,
C03777-K1,visa,debit,
C12984-K2,visa,debit,
C08972-K2,mastercard,debit,
C03422-K1,visa,debit,
C02136-K1,american express,credit,
C08198-K1,american express,credit,
C09981-K2,visa,debit,
C11398-K1,mastercard,debit,
C13354-K2,visa,debit,
C13349-K2,visa,credit,
C01910-K1,mastercard,debit,
C08044-K1,american express,debit,
C00930-K1,visa,credit,
C05686-K1,visa,debit,
C01562-K1,visa,credit,
C02796-K1,mastercard,debit,
C01439-K1,visa,debit,
C08897-K1,visa,debit,
C12330-K1,american express,credit,
C09573-K1,mastercard,credit,
C04565-K1,mastercard,debit,
C04285-K1,visa,debit,
C10644-K1,mastercard,debit,
C03197-K1,mastercard,credit,
C11436-K1,mastercard,debit,
C10084-K1,visa,debit,
C09350-K1,mastercard,credit,
C03613-K1,american express,credit,
C00559-K1,visa,credit,
C11122-K1,mastercard,credit,
C11014-K1,visa,debit,
C02592-K1,visa,credit,
C02023-K1,visa,credit,
C10631-K1,visa,credit,
C09753-K1,visa,credit,
C11716-K1,mastercard,debit,
C13034-K1,mastercard,credit,
C12454-K1,american express,credit,
C12989-K1,visa,debit,
C00722-K1,mastercard,credit,
C02515-K2,visa,debit,
C13160-K1,american express,credit,
C05378-K2,mastercard,debit,
C11198-K1,visa,debit,
C04679-K1,visa,debit,
C03684-K1,american express,debit,
C02804-K1,american express,credit,
C13541-K1,mastercard,debit,
C01875-K1,visa,debit,
C12501-K1,visa,debit,
C11249-K1,visa,debit,
C13402-K1,visa,debit,
C04267-K1,visa,debit,
C13290-K1,mastercard,credit,
C10086-K1,american express,credit,
C06050-K1,visa,debit,
C11790-K1,mastercard,debit,
C02854-K1,mastercard,debit,
C10383-K2,mastercard,debit,
C01332-K1,mastercard,credit,
C09040-K1,visa,debit,
C05240-K1,visa,debit,
C10295-K1,american express,credit,
C02458-K1,mastercard,debit,
C12092-K2,mastercard,credit,
C06379-K1,mastercard,credit,
C13025-K1,visa,credit,
C05705-K1,visa,debit,
C13403-K2,mastercard,debit,
C04061-K1,mastercard,debit,
C05610-K1,visa,debit,
C10713-K1,american express,credit,
C12846-K1,american express,credit,
C04870-K1,visa,debit,
C06063-K1,visa,credit,
C04170-K1,american express,credit,
C10780-K1,visa,debit,
C08595-K1,mastercard,debit,
C09280-K1,mastercard,debit,
C00655-K1,visa,credit,
C03043-K1,american express,credit,
C05559-K1,american express,credit,
C07470-K1,visa,credit,
C11319-K1,american express,credit,
C04037-K1,visa,credit,
C08925-K1,mastercard,debit,
C09325-K1,visa,credit,
C04398-K1,visa,credit,
C12796-K1,discover,credit,
C00440-K1,visa,credit,
C11337-K1,visa,debit,
C08346-K1,visa,credit,
C01290-K1,visa,credit,
C09025-K1,visa,credit,
C05566-K1,visa,debit,
C08557-K1,mastercard,credit,
C06578-K1,visa,debit,
C07118-K1,mastercard,debit,
C11952-K1,mastercard,debit,
C04889-K1,mastercard,debit,
C09719-K1,american express,credit,
C01099-K1,visa,debit,
C04942-K1,visa,credit,
C12163-K1,visa,credit,
C06582-K2,mastercard,debit,
C00004-K1,mastercard,debit,
C08465-K1,american express,credit,
C07210-K1,visa,debit,
C05383-K1,mastercard,debit,
C09820-K2,visa,debit,
C07134-K2,mastercard,credit,
C08766-K1,mastercard,credit,
C09353-K1,mastercard,credit,
C02475-K1,mastercard,credit,
C10270-K1,visa,debit,
C02975-K1,visa,credit,
C00129-K2,visa,debit,
C02914-K2,mastercard,credit,
C11987-K1,visa,credit,
C06428-K1,visa,debit,
C13355-K1,visa,credit,
C09456-K1,american express,credit,
C05664-K1,visa,credit,
C08305-K1,visa,debit,
C09673-K1,mastercard,debit,
C12191-K1,visa,credit,
C04257-K1,visa,credit,
C02745-K1,visa,debit,
C08458-K1,visa,debit,
C04311-K1,visa,credit,
C09044-K1,visa,credit,
C08999-K1,visa,debit,
C12885-K1,visa,debit,
C12670-K1,visa,debit,
C13236-K1,visa,debit,
C08148-K1,visa,debit,
C08336-K1,visa,debit,
C10614-K1,american express,credit,
C08628-K1,visa,credit,
C06706-K1,visa,debit,
C07265-K1,american express,credit,
C11230-K2,mastercard,debit,
C01321-K1,visa,credit,
C06740-K1,visa,debit,
C04743-K1,visa,credit,
C11468-K2,mastercard,credit,
C08755-K2,visa,debit,
C01413-K1,visa,credit,
C11213-K1,visa,debit,
C09064-K1,discover,debit,
C02955-K1,visa,debit,
C02321-K2,visa,debit,
C12835-K2,visa,debit,
C11008-K1,mastercard,debit,
C11304-K1,mastercard,credit,
C05081-K1,visa,credit,
C13269-K2,visa,debit,
C09174-K1,mastercard,debit,
C04361-K1,visa,debit,
C09154-K1,visa,credit,
C03829-K1,mastercard,credit,
C07883-K1,mastercard,debit,
C04812-K1,visa,credit,
C08915-K1,mastercard,credit,
C02838-K1,visa,debit,
C00779-K1,visa,debit,
C01977-K1,mastercard,debit,
C02910-K1,mastercard,debit,
C04597-K1,mastercard,debit,
C09363-K1,visa,debit,
C07212-K1,visa,credit,
C05330-K1,visa,debit,
C00228-K1,mastercard,credit,
C05330-K2,visa,debit,
C02575-K1,mastercard,debit,
C12644-K1,mastercard,credit,
C01128-K2,visa,debit,
C03070-K1,american express,debit,
C01525-K1,visa,debit,
C11670-K2,visa,debit,
C05115-K2,visa,credit,
C02695-K1,american express,credit,
C01119-K1,visa,debit,
C07995-K1,visa,credit,
C04393-K1,visa,debit,
C02851-K2,visa,credit,
C07750-K1,visa,debit,
C01596-K2,visa,debit,
C08206-K1,visa,debit,
C07558-K1,visa,debit,
C01424-K1,visa,credit,
C02171-K1,visa,debit,
C00066-K1,visa,debit,
C07898-K1,visa,credit,
C11601-K1,visa,credit,
C04742-K1,visa,debit,
C07591-K1,visa,debit,
C02404-K1,mastercard,debit,
C07558-K2,visa,debit,
C02000-K1,mastercard,debit,
C09141-K1,visa,debit,
C09863-K1,american express,credit,
C06950-K1,visa,credit,
C02716-K1,visa,credit,
C07641-K1,mastercard,debit,
C05670-K1,visa,debit,
C03851-K2,mastercard,debit,
C04125-K1,visa,debit,
C09800-K1,visa,debit,
C09238-K1,mastercard,debit,
C07927-K1,mastercard,debit,
C05554-K1,american express,credit,
C08234-K1,visa,credit,
C03564-K1,mastercard,credit,
C03773-K1,mastercard,credit,
C02266-K1,visa,debit,
C03545-K1,american express,credit,
C00842-K2,visa,debit,
C11136-K1,visa,credit,
C03140-K1,visa,debit,
C04172-K1,visa,credit,
C00916-K1,visa,credit,
C00999-K1,mastercard,debit,
C00105-K1,visa,credit,
C00792-K1,mastercard,credit,
C05290-K2,visa,debit,
C11890-K1,visa,debit,
C04110-K1,mastercard,credit,
C09007-K1,visa,credit,
C08812-K1,mastercard,credit,
C07602-K1,mastercard,credit,
C11945-K2,visa,debit,
C01188-K1,mastercard,debit,
C09359-K2,mastercard,credit,
C08024-K1,visa,credit,
C12386-K1,visa,debit,
C11232-K1,mastercard,debit,
C07390-K1,visa,credit,
C12730-K1,american express,credit,
C10350-K1,visa,debit,
C00073-K2,visa,debit,
C06279-K1,mastercard,credit,
C10129-K1,mastercard,credit,
C00678-K1,mastercard,credit,
C11889-K2,mastercard,debit,
C00452-K2,visa,debit,
C01169-K1,visa,debit,
C09858-K1,visa,credit,
C03299-K2,visa,debit,
C00881-K1,visa,credit,
C13191-K1,mastercard,debit,
C00648-K1,visa,credit,
C02131-K1,american express,credit,
C10746-K1,visa,credit,
C01933-K2,mastercard,credit,
C11461-K1,mastercard,credit,
C03542-K1,visa,debit,
C07119-K1,visa,credit,
C07270-K1,visa,credit,
C11032-K2,discover,credit,
C12797-K1,visa,debit,
C07628-K1,mastercard,credit,
C07531-K1,american express,credit,
C04655-K1,visa,debit,
C01352-K1,visa,debit,
C03411-K2,visa,debit,
C03385-K1,visa,credit,
C08618-K1,mastercard,debit,
C00803-K1,mastercard,debit,
C13167-K1,american express,credit,
C12403-K1,visa,debit,
C09674-K1,visa,credit,
C12887-K1,visa,debit,
C02705-K1,visa,debit,
C11783-K2,mastercard,credit,
C08840-K1,mastercard,debit,
C05411-K1,mastercard,credit,
C03399-K1,visa,credit,
C03318-K1,visa,debit,
C02445-K1,mastercard,credit,
C11224-K1,visa,credit,
C00223-K1,mastercard,debit,
C07711-K1,visa,debit,
C09117-K1,visa,credit,
C00783-K1,mastercard,credit,
C06438-K1,mastercard,debit,
C03133-K1,visa,credit,
C07659-K1,visa,credit,
C09216-K1,mastercard,credit,
C03213-K1,american express,credit,
C09279-K1,mastercard,credit,
C00170-K1,visa,credit,
C12923-K1,visa,credit,
C01924-K1,mastercard,credit,
C11656-K1,visa,debit,
C12623-K1,visa,credit,
C06541-K1,mastercard,debit,
C06903-K1,mastercard,debit,
C05320-K1,visa,debit,
C05636-K2,visa,debit,
C06515-K1,mastercard,credit,
C12446-K1,,credit,
C06768-K1,mastercard,debit,
C02487-K1,visa,debit,
C10492-K1,visa,debit,
C07547-K1,visa,credit,
C00406-K1,visa,credit,
C10193-K2,visa,debit,
C13273-K1,american express,credit,
C04863-K1,american express,credit,
C11090-K1,visa,credit,
C12199-K1,visa,debit,
C03449-K1,american express,credit,
C09470-K1,american express,credit,
C09364-K1,mastercard,credit,
C09071-K1,mastercard,debit,
C08143-K1,mastercard,credit,
C07690-K1,visa,credit,
C07241-K1,american express,credit,
C02968-K1,mastercard,debit,
C00780-K1,visa,debit,
C12975-K2,visa,debit,
C12967-K1,american express,credit,
C12018-K1,mastercard,debit,
C06898-K1,mastercard,debit,
C00373-K1,visa,credit,
C03727-K1,visa,debit,
C05731-K1,visa,debit,
C12005-K1,mastercard,debit,
C08741-K1,visa,debit,
C11011-K1,mastercard,credit,
C06840-K1,mastercard,debit,
C02702-K2,visa,credit,
C13048-K1,visa,debit,
C09454-K1,visa,debit,
C08334-K1,visa,debit,
C07902-K1,visa,debit,
C01434-K1,mastercard,credit,
C02536-K1,visa,credit,
C00885-K1,visa,credit,
C10683-K1,mastercard,debit,
C10496-K1,mastercard,credit,
C05766-K1,mastercard,debit,
C08905-K1,visa,debit,
C05625-K2,visa,debit,
C00227-K1,american express,credit,
C01801-K1,mastercard,credit,
C00509-K1,visa,debit,
C10866-K1,mastercard,credit,
C13076-K1,american express,credit,
C02341-K1,visa,debit,
C06426-K1,mastercard,debit,
C12645-K1,visa,credit,
C08338-K1,american express,credit,
C08847-K1,visa,debit,
C04644-K1,american express,credit,
C10523-K1,visa,credit,
C08833-K1,american express,credit,
C09170-K1,visa,debit,
C04861-K2,mastercard,credit,
C09283-K1,visa,credit,
C02263-K1,american express,credit,
C11762-K1,visa,debit,
C01393-K1,mastercard,credit,
C13172-K1,mastercard,credit,
C09500-K1,mastercard,debit,
C01654-K1,mastercard,debit,
C09873-K1,visa,credit,
C08610-K1,mastercard,debit,
C03345-K2,visa,debit,
C09883-K1,visa,debit,
C10843-K1,mastercard,debit,
C11743-K2,mastercard,debit,
C12193-K1,visa,debit,
C08540-K1,visa,debit,
C04903-K1,visa,debit,
C11335-K1,visa,debit,
C09073-K1,visa,debit,
C11104-K1,visa,credit,
C01026-K1,mastercard,credit,
C04230-K1,visa,credit,
C11275-K1,visa,credit,
C11204-K1,mastercard,credit,
C13465-K1,visa,debit,
C00071-K1,visa,credit,
C05903-K1,visa,debit,
C07750-K2,visa,debit,
C01254-K1,mastercard,debit,
C07391-K1,visa,debit,
C03549-K1,visa,debit,
C02180-K1,visa,credit,
C10936-K1,mastercard,credit,
C10052-K1,visa,debit,
C12418-K1,visa,credit,
C03237-K1,american express,credit,
C07605-K1,visa,debit,
C02116-K1,visa,credit,
C09287-K1,mastercard,credit,
C05902-K1,mastercard,credit,
C05268-K1,mastercard,debit,
C00992-K1,american express,credit,
C09171-K1,visa,credit,
C12972-K1,american express,credit,
C08355-K1,mastercard,debit,
C03779-K1,visa,credit,
C09900-K1,visa,debit,
C07862-K1,visa,debit,
C04849-K1,mastercard,debit,
C06469-K1,visa,credit,
C06818-K1,visa,debit,
C11750-K1,visa,debit,
C13052-K1,mastercard,debit,
C08761-K1,visa,debit,
C03437-K1,mastercard,debit,
C07973-K1,visa,credit,
C00834-K2,visa,debit,
C05961-K1,visa,debit,
C12092-K1,mastercard,credit,
C09642-K1,visa,debit,
C04261-K1,visa,debit,
C12336-K1,visa,credit,
C02008-K1,visa,debit,
C00989-K1,mastercard,credit,
C09708-K1,american express,credit,
C11625-K2,mastercard,debit,
C07632-K1,visa,debit,
C05793-K1,visa,credit,
C06886-K1,visa,credit,
C05248-K1,mastercard,debit,
C05654-K1,visa,debit,
C13429-K1,visa,credit,
C04096-K2,visa,debit,
C11866-K1,mastercard,debit,
C12470-K1,mastercard,debit,
C09424-K1,visa,debit,
C10712-K1,mastercard,credit,
C09997-K1,visa,debit,
C11265-K1,visa,debit,
C13478-K1,american express,credit,
C12283-K1,visa,debit,
C09094-K1,visa,debit,
C12057-K1,mastercard,debit,
C08412-K1,visa,credit,
C10855-K1,american express,credit,
C07437-K1,visa,debit,
C00998-K1,mastercard,credit,
C10862-K1,visa,debit,
C01934-K1,mastercard,debit,
C09068-K1,american express,credit,
C04556-K1,visa,credit,
C09779-K1,visa,credit,
C00605-K1,mastercard,debit,
C07466-K2,visa,credit,
C04665-K1,visa,credit,
C09442-K1,american express,credit,
C09119-K1,visa,credit,
C04132-K1,visa,credit,
C02332-K1,visa,credit,
C03645-K1,mastercard,credit,
C10979-K1,visa,credit,
C08226-K1,visa,debit,
C13064-K1,american express,credit,
C05062-K2,visa,debit,
C03256-K1,visa,credit,
C13454-K1,visa,debit,
